Taxonomy,Method,Citation_Key,Reproduced,Setup,Bottle,Cable,Capsule,Carpet,Grid,Hazelnut,Leather,Metal_Nut,Pill,Screw,Tile,Toothbrush,Transistor,Wood,Zipper,Mean
Distribution-based,DifferNet,rudolph2021SSBD,FALSE,16-shot,98.50,86.40,61.40,77.00,65.80,97.30,92.90,77.70,65.10,75.90,98.90,92.30,76.60,99.20,88.30,83.55
Distribution-based,TDG,sheynin2021HTDGM,FALSE,1-shot,85.00 ± 3.70,61.10 ± 7.80,62.60 ± 6.70,83.70 ± 8.70,87.10 ± 5.00,66.50 ± 9.20,97.60 ± 1.10,60.30 ± 8.60,66.50 ± 7.00,92.80 ± 6.00,84.40 ± 3.80,64.70 ± 11.10,62.70 ± 6.80,85.50 ± 7.90,73.20 ± 7.70,75.60 ± 6.70
Distribution-based,TDG,sheynin2021HTDGM,FALSE,5-shot,90.80 ± 3.70,76.10 ± 4.00,64.90 ± 5.60,65.20 ± 6.40,82.40 ± 9.70,84.50 ± 8.80,98.20 ± 0.90,76.40 ± 6.50,63.60 ± 4.10,74.80 ± 1.30,81.00 ± 4.40,64.20 ± 7.30,76.20 ± 3.90,96.20 ± 1.80,73.30 ± 10.70,77.90 ± 5.30
Distribution-based,TDG,sheynin2021HTDGM,FALSE,10-shot,90.50 ± 3.10,77.60 ± 3.90,59.30 ± 8.40,63.90 ± 6.80,79.00 ± 5.90,79.30 ± 11.30,98.50 ± 0.50,74.00 ± 8.40,66.50 ± 7.00,75.70 ± 19.00,81.40 ± 6.90,69.50 ± 7.70,79.20 ± 4.70,95.80 ± 1.10,80.40 ± 5.90,78.00 ± 6.70
Distribution-based,RegAD,huang2022RBFSAD,TRUE,2-shot,99.72,69.75,69.31,96.55,78.10,96.26,99.96,94.23,66.05,53.87,98.87,86.56,82.22,99.78,90.85,85.47
Distribution-based,RegAD,huang2022RBFSAD,TRUE,4-shot,99.26,82.90,75.31,97.87,86.58,95.86,99.90,94.29,73.90,59.36,98.22,90.92,85.50,98.94,95.80,88.97
Distribution-based,RegAD,huang2022RBFSAD,TRUE,8-shot,99.78,81.51,78.11,98.52,91.42,97.27,100.00,98.55,77.88,65.73,99.61,96.64,90.24,99.52,93.48,91.22
Distribution-based,COFT-AD,liao2024COFTAD,FALSE,2-shot,90.95,66.55,59.38,73.18,61.77,68.82,65.28,68.96,66.68,54.90,69.64,74.81,74.33,79.85,72.82,69.86
Distribution-based,COFT-AD,liao2024COFTAD,FALSE,5-shot,95.73,78.05,74.26,79.90,61.85,86.89,77.92,78.57,81.31,62.26,75.34,88.81,74.80,90.12,75.70,78.76
Distribution-based,COFT-AD,liao2024COFTAD,FALSE,10-shot,99.03,83.49,78.38,79.95,63.14,87.25,78.88,79.47,82.55,63.92,81.14,94.71,87.21,97.15,84.45,82.71
Reconstruction-based,FastRecon,fang2023FASTRECON,FALSE,2-shot,,,,,,,,,,,,,,,,90.97
Reconstruction-based,FastRecon,fang2023FASTRECON,FALSE,4-shot,99.44,93.79,90.07,99.90,88.81,99.32,100,99.12,93.48,62.46,100,93.61,97.29,99.29,96.95,94.24
Reconstruction-based,FastRecon,fang2023FASTRECON,FALSE,8-shot,,,,,,,,,,,,,,,,95.19
Reconstruction-based,MAEDAY,schwartz2024MAEDAY,FALSE,0-shot,74.30,53.00,64.00,74.60,97.90,97.10,92.90,43.60,63.40,69.90,84.30,77.50,48.30,94.80,82.00,74.50
