Taxonomy,Method,Citation_Key,Reproduced,Setup,Bottle,Cable,Capsule,Carpet,Grid,Hazelnut,Leather,Metal_Nut,Pill,Screw,Tile,Toothbrush,Transistor,Wood,Zipper,Mean
Distribution-based,RegAD,huang2022RBFSAD,TRUE,2-shot,98.57,94.23,97.61,98.86,77.85,98.21,99.19,98.00,97.03,94.11,95.13,98.23,93.30,96.50,98.34,95.68
Distribution-based,RegAD,huang2022RBFSAD,TRUE,4-shot,98.52,95.53,98.07,98.92,83.95,98.37,98.97,96.51,97.42,96.04,92.56,98.52,93.52,96.33,98.59,96.12
Distribution-based,RegAD,huang2022RBFSAD,TRUE,8-shot,98.51,95.77,98.39,98.93,89.06,98.48,99.33,98.33,97.71,97.34,96.07,98.95,95.93,96.45,97.40,97.11
Reconstruction-based,FSFAAD,wang2022FSFAAD,FALSE,10-shot,82.00,80.00,90.00,84.00,82.00,94.00,95.00,78.00,88.00,86.00,76.00,85.00,80.00,78.00,86.00,84.27
Reconstruction-based,FastRecon,fang2023FASTRECON,FALSE,2-shot,,,,,,,,,,,,,,,,95.86
Reconstruction-based,FastRecon,fang2023FASTRECON,FALSE,4-shot,98.50,96.12,98.96,99.15,86.32,98.59,99.20,98.72,98.32,97.10,96.73,99.04,94.18,94.94,98.89,96.98
Reconstruction-based,FastRecon,fang2023FASTRECON,FALSE,8-shot,,,,,,,,,,,,,,,,97.27
Reconstruction-based,MAEDAY,schwartz2024MAEDAY,FALSE,0-shot,50.70,65.50,48.10,76.20,95.40,94.10,94.60,39.60,61.50,96.90,30.90,72.30,59.70,78.80,76.20,69.40
Reconstruction-based,MAEDAY,schwartz2024MAEDAY,FALSE,1-shot,50.80 ± 0.50,73.10 ± 3.10,48.40 ± 3.60,78.40 ± 1.70,96.70 ± 0.30,94.00 ± 0.20,96.40 ± 0.50,47.00 ± 0.70,62.00 ± 1.10,96.40 ± 0.40,37.40 ± 2.10,77.60 ± 3.00,61.90 ± 0.20,80.00 ± 0.40,73.90 ± 0.60,71.60
Reconstruction-based,INP-Former,luo2025EINP,TRUE,1-shot,98.89,95.47,97.11,99.43,98.92,99.27,99.39,94.74,97.04,98.46,97.90,98.74,81.06,95.71,98.53,96.71
Reconstruction-based,INP-Former,luo2025EINP,TRUE,2-shot,98.98,94.98,97.62,99.39,99.14,99.30,99.41,96.48,96.50,98.89,97.79,99.13,84.60,97.54,98.92,97.24
Reconstruction-based,INP-Former,luo2025EINP,TRUE,4-shot,98.99,95.22,97.90,99.38,99.13,99.39,99.41,96.21,97.30,99.16,97.68,99.02,82.17,97.61,98.60,97.15
Reconstruction-based,INP-Former++,luo2025INP,FALSE,4-shot,,,,,,,,,,,,,,,,97.30
Distance-based,DictAS,qu2025DICTAS,FALSE,1-shot,99.10 ± 0.10,97.80 ± 0.30,97.70 ± 0.20,99.70 ± 0.00,96.30 ± 0.70,98.40 ± 0.20,99.60 ± 0.00,95.80 ± 0.90,98.50 ± 0.10,98.30 ± 0.60,98.50 ± 0.10,97.30 ± 0.80,93.30 ± 2.10,97.10 ± 0.10,97.80 ± 0.00,97.70 ± 0.10
Distance-based,DictAS,qu2025DICTAS,FALSE,2-shot,99.20 ± 0.00,98.70 ± 0.40,98.50 ± 0.30,99.70 ± 0.00,96.90 ± 0.60,98.80 ± 0.30,99.60 ± 0.00,96.00 ± 0.60,98.70 ± 0.10,98.60 ± 0.70,98.60 ± 0.10,99.00 ± 0.60,95.70 ± 1.20,97.30 ± 0.10,98.00 ± 0.20,98.20 ± 0.10
Distance-based,DictAS,qu2025DICTAS,FALSE,4-shot,99.20 ± 0.00,98.90 ± 0.30,98.60 ± 0.30,99.70 ± 0.00,97.70 ± 0.60,99.10 ± 0.10,99.60 ± 0.00,97.50 ± 0.10,98.90 ± 0.10,99.10 ± 0.80,98.80 ± 0.00,99.20 ± 0.40,96.50 ± 0.70,97.40 ± 0.10,98.30 ± 0.10,98.60 ± 0.00
